Nombre de cuenta,Número de cuenta,Nombre del banco,Moneda,Ubicación,BIC,IBAN,Estatus de cuenta,Tipo de cuenta,Saldo en libros al cierre,Saldo en libros final al cierre del ejercicio anterior de,Saldo disponible al cierre,Saldo final disponible del ejercicio anterior de,Saldo actual en libros,Saldo actual en libros al,Saldo actual disponible,Saldo actual disponible al,Referencia del banco,Descripción,Referencia de cliente,Tipo de TRN,Importe de crédito,Importe del débito,Saldo,Fecha del apunte,Hora de cargo o abono,Fecha valor
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,5848,RENTALC241 AGUA 291021 ,1110101119014622,Crédito,732.40,,"498,753.61",01/11/2021,01:39,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,1015,ABONO POR DEPOSITO EN CDM 20211101 ,D00791 16:43:16,Crédito,"6,500.00",,"505,253.61",01/11/2021,16:43,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,1015,ABONO POR DEPOSITO EN CDM 20211101 ,D19801 21:42:50,Crédito,"9,450.00",,"514,703.61",01/11/2021,21:42,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,1015,ABONO POR DEPOSITO EN CDM 20211101 ,D00791 17:07:01,Crédito,"2,000.00",,"516,703.61",01/11/2021,17:07,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,1015,ABONO POR DEPOSITO EN CDM 20211101 ,D04561 17:39:48,Crédito,"2,370.00",,"519,073.61",01/11/2021,17:39,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,5549,25102021CHALCOT3 ,7800000858,Crédito,"35,762.00",,"554,835.61",01/11/2021,11:03,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,5549,27102021CHALCOT1 ,7800000861,Crédito,"29,468.00",,"584,303.61",01/11/2021,11:03,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,5549,28102021CHALCOT0 ,7800000862,Crédito,"31,995.00",,"616,298.61",01/11/2021,11:03,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,5549,28102021PDESTT1 ,8000000108,Crédito,"12,120.00",,"628,418.61",01/11/2021,12:43,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,5549,28102021DRIVER7 ,8000000110,Crédito,"20,357.00",,"648,775.61",01/11/2021,12:43,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,5549,29102021PDESTT9 ,8000000114,Crédito,"13,685.00",,"662,460.61",01/11/2021,12:43,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,5549,29102021DRIVER5 ,8000000116,Crédito,"23,767.00",,"686,227.61",01/11/2021,12:43,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,5549,0106205734MXC ,7800000859,Crédito,"6,000.00",,"692,227.61",01/11/2021,16:33,01/11/2021
"TERMINAL LAS TORRES PUEBLA, S.A. DE",4062190764,HSBC Mexico,MXN,MÉXICO,BIMEMXMM,No disponible,Activo,Cuenta de cheques,"723,782.61",01/11/2021,"723,782.61",01/11/2021,"723,782.61",No disponible,"723,782.61",No disponible,5549,0106205734MXC ,7800000860,Crédito,"31,555.00",,"723,782.61",01/11/2021,16:33,01/11/2021
